trial,HC_score,HC_time,BS3_score,BS3_time,BS4_score,BS4_time,VND_score,VND_time
1,79,0.016471147537231445,76,0.40000414848327637,78,0.5334193706512451,79,0.023497819900512695
2,80,0.02189040184020996,80,0.4362223148345947,80,0.5242617130279541,79,0.018558740615844727
3,80,0.03751349449157715,79,0.3537275791168213,79,0.4927983283996582,78,0.019514083862304688
4,80,0.02332758903503418,80,0.4023406505584717,79,0.4734511375427246,77,0.019215106964111328
5,79,0.02828812599182129,76,0.44905805587768555,78,0.518996000289917,78,0.01717662811279297
6,79,0.01874065399169922,79,0.3926825523376465,79,0.5160408020019531,79,0.018625259399414062
7,80,0.023549795150756836,78,0.4027681350708008,79,0.5198159217834473,80,0.024825096130371094
8,80,0.024487733840942383,79,0.35956597328186035,80,0.5310611724853516,80,0.016673803329467773
9,79,0.019685029983520508,79,0.3268923759460449,78,0.5468113422393799,78,0.01558542251586914
10,79,0.023212671279907227,79,0.34455394744873047,79,0.5785737037658691,79,0.026829957962036133
